"iter","E21","E11","E22","E12"
11341,-378.629,-1734.7,-522,-1123.75
11342,-376.838,-1705.91,-552.394,-1144.26
11343,-343.404,-1808.59,-451.06,-1315.31
11344,-380.103,-1792.76,-445.502,-1251.08
11345,-691.38,-1773.68,-770.665,-1193.17
11346,-1038.84,-1734.17,-664.552,-1187.31
11347,-935.654,-1770.56,-774.049,-1167.71
11348,-961.391,-1798.26,-688.319,-1259.93
11349,-822.77,-1763.14,-445.786,-1183.82
11350,-940.285,-1823.11,-557.308,-1192.2
11351,-977.404,-1912.19,-744.948,-1127.19
11352,-1094.76,-1711.94,-731.163,-1293.04
11353,-899.845,-1637.19,-728.119,-1227.71
11354,-731.929,-1663.86,-814.784,-1177.34
11355,-856.7,-1606.89,-648.966,-1274.45
11356,-613.998,-1624.71,-719.817,-1409.47
11357,-811.092,-1891.36,-467.501,-1164.53
11358,-835.355,-1812.41,-427.174,-1413.37
11359,-880.088,-1771.82,-481.668,-1146.17
11360,-927.433,-1944.87,-514.825,-1205.93
11361,-872.979,-1949.3,-728.296,-1329.45
11362,-757.742,-1926.9,-655.458,-1257.32
11363,-700.712,-1989,-690.72,-1165.13
11364,-501.722,-1795.94,-684.296,-1309.41
11365,-467.881,-1770.92,-654.263,-1191.85
11366,-258.127,-1755.56,-687.13,-1191.91
11367,-736.607,-1979.81,-788.738,-1193.82
11368,-827.293,-1648.62,-631.283,-1199.72
11369,-886.887,-1710.61,-480.909,-1243.92
11370,-887.13,-1915.87,-759.57,-1273.75
11371,-756.123,-1647.47,-633.725,-1163.02
11372,-1021.95,-1644.15,-642.91,-1320.43
11373,-966.658,-1762.71,-525.447,-1328.82
11374,-889.146,-1619.04,-622.428,-1174.82
11375,-908.861,-1602.26,-716.634,-1052.11
11376,-1046.09,-1539.51,-708.074,-1102.27
11377,-979.479,-1753.22,-731.227,-1268.47
11378,-788.818,-1666.54,-694.351,-1191.77
11379,-943.882,-1900.01,-699.338,-1148.93
11380,-1115.79,-1774.25,-735.677,-1240.27
11381,-1005.7,-1926.66,-798.143,-1271.15
11382,-530.842,-1891.51,-516.579,-1318.31
11383,-952.266,-1817.05,-484.47,-1200.25
11384,-975.818,-1839.43,-620.854,-1286.69
11385,-956.626,-1786.17,-565.022,-1196.19
11386,-491.949,-1901.48,-653.897,-1212.26
11387,-891.62,-1823.54,-655.753,-1265.91
11388,-900.357,-1898.92,-635.929,-1246.36
11389,-364.841,-1983.7,-629.026,-1304.4
11390,-425.558,-1860.87,-697.087,-1263.65
11391,-326.64,-1733.73,-536.852,-1296.87
11392,-154.143,-1852.57,-502.021,-1208.74
11393,-349.394,-1899.76,-682.224,-1196.67
11394,-452.953,-1793.46,-700.965,-1251.69
11395,-510.22,-1654.19,-712.877,-1214.46
11396,-347.891,-1696.37,-715.932,-1169.46
11397,-352.629,-1880.27,-734.127,-1135.89
11398,-706.183,-1904.87,-668.423,-1033.46
11399,-274.351,-1893.86,-672.309,-1330.48
11400,-479.734,-1631.88,-637.601,-1197.33
11401,-952.624,-1751.32,-612.71,-1272.5
11402,-959.745,-1876.36,-697.075,-1352.84
11403,-900.026,-1649.94,-704.408,-1414.78
11404,-888.868,-1938.26,-643.443,-1167.09
11405,-892.795,-1784.06,-677.585,-1436.53
11406,-967.025,-1697.5,-556.26,-1446.33
11407,-1106.51,-1669.97,-696.132,-1190.53
11408,-802.594,-1859.47,-447.972,-1230.68
11409,-685.062,-1641.17,-621.08,-1207.32
11410,-909.719,-1681.16,-722.618,-1184.66
11411,-926.931,-1809.66,-771.825,-1164.49
11412,-896.975,-1817.08,-631.27,-1197.59
11413,-804.446,-1624.24,-705.037,-1366.52
11414,-841.252,-1648.88,-776.233,-1280.7
11415,-1049.52,-1726.14,-744.792,-1237.97
11416,-900.569,-1631.77,-638.253,-1125.76
11417,-761.571,-1735.97,-576.672,-1259.77
11418,-1028.15,-1889.29,-739.919,-1175.11
11419,-1060.8,-1786.11,-610.707,-1404.06
11420,-861.214,-1758.37,-645.179,-1275.09
11421,-940.728,-1650.65,-531.943,-1324.05
11422,-796.544,-1899.81,-508.2,-1360.1
11423,-824.546,-1777.57,-727.709,-1267.27
11424,-810.111,-1947.4,-688.294,-1195.09
11425,-908.091,-1824.19,-526.935,-1162.49
11426,-784.733,-1903.57,-724.436,-1188.69
11427,-798.617,-1827.07,-660.183,-1257.78
11428,-561.413,-1851.02,-648.386,-1283.7
11429,-862.197,-1780.6,-757.611,-1363.61
11430,-440.374,-1676.65,-747.846,-1166.68
11431,-420.916,-1695.72,-640.952,-1027.61
11432,-481.389,-1962.14,-569.859,-1165.8
11433,-647.928,-1744.22,-558.556,-1293.62
11434,-895.349,-1864.72,-900.119,-1282.41
11435,-892.932,-1832.56,-718.766,-1140.64
11436,-902.33,-1724.71,-670.43,-1380.94
11437,-869.217,-1578.66,-771.658,-1238.84
11438,-914.655,-1647.48,-687.943,-1222.03
11439,-951.79,-1703.7,-423.089,-1270.83
11440,-853.058,-1893.01,-569.239,-1126.05
11441,-821.303,-1782.25,-508.817,-1233.29
