# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
iter;Noir Begin;Noir End;S4;S5;S6
11256;345,964034181127;667,707882591549;345,964034181127;380,889346393025;667,707882591549
11257;377,212930630309;584,424997407568;377,212930630309;422,402001687258;584,424997407568
11258;354,335595263825;579,659395337897;354,335595263825;369,015205873553;579,659395337897
11259;372,597798342867;656,650331906101;372,597798342867;421,600602407804;656,650331906101
11260;417,885381455919;624,475477972547;417,885381455919;420,364203839053;624,475477972547
11261;392,01149368619;568,414091232427;392,01149368619;405,68602435177;568,414091232427
11262;405,230126382082;607,20254681303;405,230126382082;406,851237357606;607,20254681303
11263;346,005635624925;578,721231575251;346,005635624925;422,424230046915;578,721231575251
11264;346,385990958381;563,137420894363;346,385990958381;411,098253112506;563,137420894363
11265;340,187079726564;581,190604435897;340,187079726564;455,593065124011;581,190604435897
11266;364,937904331574;574,164084750319;364,937904331574;454,460821452415;574,164084750319
11267;340,97767984408;567,802630239111;340,97767984408;429,436551033977;567,802630239111
11268;414,483237250732;590,449645970716;414,483237250732;466,516546504884;590,449645970716
11269;359,247248056747;649,783371518595;359,247248056747;419,235648508082;649,783371518595
11270;321,261759443466;617,134983298699;321,261759443466;462,046251685812;617,134983298699
11271;353,831554836602;589,234610225215;353,831554836602;453,318451496858;589,234610225215
11272;348,188433682486;682,91867767277;348,188433682486;439,509998610189;682,91867767277
11273;324,073488346876;592,811783446112;324,073488346876;417,842932525427;592,811783446112
11274;352,036198678596;606,307481406022;352,036198678596;444,260200013963;606,307481406022
11275;383,235079488436;610,682548892356;383,235079488436;473,558466126175;610,682548892356
11276;374,033257249609;626,714444128873;374,033257249609;375,09112719274;626,714444128873
11277;382,080346840367;609,46139684984;382,080346840367;419,992368061287;609,46139684984
11278;320,765466361642;600,201647292085;320,765466361642;373,97008526893;600,201647292085
11279;345,417233523321;588,359532674261;345,417233523321;451,909588522207;588,359532674261
